,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
377,2022,EX,FT,Data Engineer,150000,CAD,118187.0,CA,100,CA,S
378,2022,SE,FT,Data Analyst,132000,USD,132000.0,US,0,US,M
380,2022,SE,FT,Data Engineer,208775,USD,208775.0,US,100,US,M
381,2022,SE,FT,Data Engineer,147800,USD,147800.0,US,100,US,M
382,2022,SE,FT,Data Engineer,136994,USD,136994.0,US,100,US,M
383,2022,SE,FT,Data Engineer,101570,USD,101570.0,US,100,US,M
384,2022,SE,FT,Data Analyst,128875,USD,128875.0,US,100,US,M
385,2022,SE,FT,Data Analyst,93700,USD,93700.0,US,100,US,M
386,2022,EX,FT,Machine Learning Developer,6000000,INR,79039.0,IN,50,IN,L
388,2022,EN,FT,Machine Learning Developer,28500,GBP,37300.0,GB,100,GB,L
389,2022,SE,FT,Data Analyst,164000,USD,164000.0,US,0,US,M
390,2022,SE,FT,Data Engineer,155000,USD,155000.0,US,100,US,M
391,2022,MI,FT,Machine Learning Developer,95000,GBP,124333.0,GB,0,GB,M
392,2022,MI,FT,Machine Learning Developer,75000,GBP,98158.0,GB,0,GB,M
393,2022,MI,FT,Data Scientist,120000,USD,120000.0,US,0,US,M
396,2022,SE,FT,Data Analyst,145000,USD,145000.0,US,100,US,M
397,2022,SE,FT,Data Analyst,105400,USD,105400.0,US,100,US,M
398,2022,MI,FT,Machine Learning Developer,80000,EUR,87932.0,FR,100,DE,M
399,2022,MI,FT,Data Engineer,90000,GBP,117789.0,GB,0,GB,M
400,2022,SE,FT,Data Scientist,215300,USD,215300.0,US,100,US,L
401,2022,SE,FT,Data Scientist,158200,USD,158200.0,US,100,US,L
402,2022,SE,FT,Data Engineer,209100,USD,209100.0,US,100,US,L
403,2022,SE,FT,Data Engineer,154600,USD,154600.0,US,100,US,L
404,2022,SE,FT,Data Analyst,115934,USD,115934.0,US,0,US,M
405,2022,SE,FT,Data Analyst,81666,USD,81666.0,US,0,US,M
406,2022,SE,FT,Data Engineer,175000,USD,175000.0,US,100,US,M
407,2022,MI,FT,Data Engineer,75000,GBP,98158.0,GB,0,GB,M
409,2022,SE,FT,Data Engineer,183600,USD,183600.0,US,100,US,L
410,2022,MI,FT,Data Analyst,40000,GBP,52351.0,GB,100,GB,M
411,2022,SE,FT,Data Scientist,180000,USD,180000.0,US,100,US,M
412,2022,MI,FT,Data Scientist,55000,GBP,71982.0,GB,0,GB,M
413,2022,MI,FT,Data Scientist,35000,GBP,45807.0,GB,0,GB,M
414,2022,MI,FT,Data Engineer,60000,EUR,65949.0,GR,100,GR,M
415,2022,MI,FT,Data Engineer,45000,EUR,49461.0,GR,100,GR,M
416,2022,MI,FT,Data Engineer,60000,GBP,78526.0,GB,100,GB,M
417,2022,MI,FT,Data Engineer,45000,GBP,58894.0,GB,100,GB,M
418,2022,SE,FT,Data Scientist,260000,USD,260000.0,US,100,US,M
419,2022,SE,FT,Data Engineer,60000,USD,60000.0,AR,100,MX,L
420,2022,MI,FT,Data Engineer,63900,USD,63900.0,US,0,US,M
421,2022,MI,FT,Machine Learning Developer,160000,USD,160000.0,US,100,US,L
422,2022,MI,FT,Machine Learning Developer,112300,USD,112300.0,US,100,US,L
423,2022,MI,FT,Data Scientist,241000,USD,241000.0,US,100,US,M
424,2022,MI,FT,Data Scientist,159000,USD,159000.0,US,100,US,M
425,2022,SE,FT,Data Scientist,180000,USD,180000.0,US,0,US,M
426,2022,SE,FT,Data Scientist,80000,USD,80000.0,US,0,US,M
427,2022,MI,FT,Data Engineer,82900,USD,82900.0,US,0,US,M
428,2022,SE,FT,Data Engineer,100800,USD,100800.0,US,100,US,L
429,2022,MI,FT,Data Engineer,45000,EUR,49461.0,ES,100,ES,M
430,2022,SE,FT,Data Scientist,140400,USD,140400.0,US,0,US,L
431,2022,MI,FT,Data Analyst,30000,GBP,39263.0,GB,100,GB,M
432,2022,MI,FT,Data Analyst,40000,EUR,43966.0,ES,100,ES,M
433,2022,MI,FT,Data Analyst,30000,EUR,32974.0,ES,100,ES,M
434,2022,MI,FT,Data Engineer,80000,EUR,87932.0,ES,100,ES,M
435,2022,MI,FT,Data Engineer,70000,EUR,76940.0,ES,100,ES,M
436,2022,MI,FT,Data Engineer,80000,GBP,104702.0,GB,100,GB,M
437,2022,MI,FT,Data Engineer,70000,GBP,91614.0,GB,100,GB,M
438,2022,MI,FT,Data Engineer,60000,EUR,65949.0,ES,100,ES,M
439,2022,MI,FT,Data Engineer,80000,EUR,87932.0,GR,100,GR,M
442,2022,MI,FT,Data Analyst,40000,EUR,43966.0,GR,100,GR,M
443,2022,MI,FT,Data Analyst,30000,EUR,32974.0,GR,100,GR,M
444,2022,MI,FT,Data Engineer,75000,GBP,98158.0,GB,100,GB,M
446,2022,SE,FT,Data Scientist,215300,USD,215300.0,US,0,US,L
447,2022,MI,FT,Data Engineer,70000,EUR,76940.0,GR,100,GR,M
450,2022,SE,FT,Data Engineer,180000,USD,180000.0,US,100,US,M
451,2022,EN,FT,Data Engineer,20000,EUR,21983.0,PT,100,PT,L
452,2022,SE,FT,Data Engineer,80000,USD,80000.0,US,100,US,M
453,2022,MI,FT,Machine Learning Developer,100000,CAD,78791.0,CA,100,CA,M
454,2022,EX,FT,Data Scientist,250000,CAD,196979.0,CA,50,CA,L
455,2022,MI,FT,Machine Learning Developer,120000,USD,120000.0,US,100,US,S
456,2022,EN,FT,Data Engineer,125000,USD,125000.0,US,0,US,M
457,2022,MI,FT,Data Engineer,240000,CNY,37236.0,US,50,US,L
458,2022,SE,FT,Data Engineer,105000,USD,105000.0,US,100,US,M
459,2022,SE,FT,Machine Learning Developer,80000,EUR,87932.0,DE,0,DE,M
460,2022,MI,FT,Data Analyst,1400000,INR,18442.0,IN,100,IN,M
461,2022,MI,FT,Data Scientist,2400000,INR,31615.0,IN,100,IN,L
462,2022,MI,FT,Machine Learning Developer,53000,EUR,58255.0,PT,50,PT,L
463,2022,EN,FT,Data Analyst,100000,USD,100000.0,US,50,US,L
464,2022,MI,PT,Data Engineer,50000,EUR,54957.0,DE,50,DE,L
465,2022,EN,FT,Data Scientist,1400000,INR,18442.0,IN,100,IN,M
466,2022,SE,FT,Data Scientist,148000,EUR,162674.0,DE,100,DE,M
467,2022,EN,FT,Data Engineer,120000,USD,120000.0,US,100,US,M
468,2022,SE,FT,Data Scientist,144000,USD,144000.0,US,50,US,L
469,2022,SE,FT,Data Scientist,104890,USD,104890.0,US,100,US,M
470,2022,SE,FT,Data Engineer,100000,USD,100000.0,US,100,US,M
471,2022,SE,FT,Data Scientist,140000,USD,140000.0,US,100,US,M
472,2022,MI,FT,Data Analyst,135000,USD,135000.0,US,100,US,M
473,2022,MI,FT,Data Analyst,50000,USD,50000.0,US,100,US,M
474,2022,SE,FT,Data Scientist,220000,USD,220000.0,US,100,US,M
476,2022,MI,FT,Data Scientist,140000,GBP,183228.0,GB,0,GB,M
477,2022,MI,FT,Data Scientist,70000,GBP,91614.0,GB,0,GB,M
478,2022,SE,FT,Data Scientist,185100,USD,185100.0,US,100,US,M
479,2022,SE,FT,Machine Learning Developer,220000,USD,220000.0,US,100,US,M
480,2022,MI,FT,Data Scientist,200000,USD,200000.0,US,100,US,M
481,2022,MI,FT,Data Scientist,120000,USD,120000.0,US,100,US,M
482,2022,SE,FT,Machine Learning Developer,120000,USD,120000.0,AE,100,AE,S
483,2022,SE,FT,Machine Learning Developer,65000,USD,65000.0,AE,100,AE,S
485,2022,EX,FT,Data Engineer,216000,USD,216000.0,US,100,US,M
486,2022,SE,FT,Data Engineer,210000,USD,210000.0,US,100,US,M
487,2022,SE,FT,Machine Learning Developer,120000,USD,120000.0,US,100,US,M
488,2022,SE,FT,Data Scientist,230000,USD,230000.0,US,100,US,M
489,2022,EN,PT,Data Scientist,100000,USD,100000.0,DZ,50,DZ,M
490,2022,MI,FL,Data Scientist,100000,USD,100000.0,CA,100,US,M
491,2022,EN,CT,Machine Learning Developer,29000,EUR,31875.0,TN,100,CZ,M
492,2022,SE,FT,Data Analyst,200000,USD,200000.0,MY,100,US,M
493,2022,MI,FT,Data Analyst,75000,USD,75000.0,CA,100,CA,S
494,2022,MI,FT,Data Scientist,150000,PLN,35590.0,PL,100,PL,L
495,2022,SE,FT,Machine Learning Developer,100000,CAD,78791.0,CA,100,CA,M
496,2022,SE,FT,Data Scientist,100000,USD,100000.0,BR,100,US,M
497,2022,MI,FT,Machine Learning Developer,153000,USD,153000.0,US,50,US,M
498,2022,EN,FT,Data Engineer,52800,EUR,58035.0,PK,100,DE,M
499,2022,SE,FT,Data Scientist,165000,USD,165000.0,US,100,US,M
500,2022,SE,FT,Data Scientist,85000,EUR,93427.0,FR,50,FR,L
501,2022,EN,FT,Data Scientist,66500,CAD,52396.0,CA,100,CA,L
502,2022,SE,FT,Machine Learning Developer,57000,EUR,62651.0,NL,100,NL,L
503,2022,MI,FT,Data Analyst,30000,EUR,32974.0,EE,100,EE,S
504,2022,EN,FT,Data Scientist,40000,USD,40000.0,JP,100,MY,L
505,2022,MI,FT,Machine Learning Developer,121000,AUD,87425.0,AU,100,AU,L
506,2022,SE,FT,Data Engineer,115000,USD,115000.0,US,100,US,M
507,2022,EN,FT,Data Scientist,120000,AUD,86703.0,AU,50,AU,M
508,2022,MI,FT,Machine Learning Developer,75000,USD,75000.0,BO,100,US,L
509,2022,MI,FT,Data Scientist,59000,EUR,64849.0,AT,0,AT,L
510,2022,EN,FT,Data Scientist,120000,USD,120000.0,US,100,US,L
511,2022,MI,FT,Data Scientist,157000,USD,157000.0,US,100,US,L
512,2022,EN,FT,Data Engineer,150000,USD,150000.0,AU,100,AU,S
513,2022,MI,FT,Data Analyst,90000,CAD,70912.0,CA,50,CA,L
514,2022,EN,FT,Data Engineer,65000,USD,65000.0,US,100,US,S
515,2022,SE,FT,Machine Learning Developer,65000,EUR,71444.0,IE,100,IE,S
516,2022,EN,FT,Data Analyst,20000,USD,20000.0,PK,0,PK,M
517,2022,MI,FT,Data Scientist,48000,USD,48000.0,RU,100,US,S
518,2022,SE,FT,Data Scientist,152500,USD,152500.0,US,100,US,M
519,2022,MI,FT,Data Engineer,62000,EUR,68147.0,FR,100,FR,M
520,2022,MI,FT,Data Scientist,115000,CHF,122346.0,CH,0,CH,L
522,2022,MI,FT,Data Scientist,88000,CAD,69336.0,CA,100,CA,M
523,2022,EN,FT,Data Engineer,10000,USD,10000.0,PT,100,LU,M
524,2022,MI,FT,Data Analyst,20000,USD,20000.0,GR,100,GR,S
526,2022,MI,FT,Data Scientist,135000,USD,135000.0,US,100,US,L
527,2022,SE,FT,Data Scientist,177000,USD,177000.0,US,100,US,L
528,2022,MI,FT,Data Scientist,78000,USD,78000.0,US,100,US,M
530,2022,SE,FT,Data Analyst,100000,USD,100000.0,US,100,US,M
532,2022,MI,FT,Data Analyst,85000,USD,85000.0,CA,0,CA,M
533,2022,MI,FT,Data Analyst,75000,USD,75000.0,CA,0,CA,M
534,2022,SE,FT,Machine Learning Developer,214000,USD,214000.0,US,100,US,M
535,2022,SE,FT,Machine Learning Developer,192600,USD,192600.0,US,100,US,M
536,2022,SE,FT,Data Engineer,266400,USD,266400.0,US,100,US,M
537,2022,SE,FT,Data Engineer,213120,USD,213120.0,US,100,US,M
540,2022,MI,FT,Data Scientist,141300,USD,141300.0,US,0,US,M
541,2022,MI,FT,Data Scientist,102100,USD,102100.0,US,0,US,M
542,2022,SE,FT,Data Analyst,115934,USD,115934.0,US,100,US,M
543,2022,SE,FT,Data Analyst,81666,USD,81666.0,US,100,US,M
544,2022,MI,FT,Data Engineer,206699,USD,206699.0,US,0,US,M
545,2022,MI,FT,Data Engineer,99100,USD,99100.0,US,0,US,M
546,2022,SE,FT,Data Engineer,130000,USD,130000.0,US,100,US,M
548,2022,SE,FT,Data Engineer,110500,USD,110500.0,US,100,US,M
550,2022,SE,FT,Data Analyst,99050,USD,99050.0,US,100,US,M
551,2022,SE,FT,Data Engineer,160000,USD,160000.0,US,100,US,M
552,2022,SE,FT,Data Scientist,205300,USD,205300.0,US,0,US,L
554,2022,SE,FT,Data Scientist,176000,USD,176000.0,US,100,US,M
555,2022,SE,FT,Data Scientist,144000,USD,144000.0,US,100,US,M
556,2022,SE,FT,Data Engineer,200100,USD,200100.0,US,100,US,M
558,2022,SE,FT,Data Engineer,145000,USD,145000.0,US,100,US,M
559,2022,SE,FT,Data Engineer,70500,USD,70500.0,US,0,US,M
560,2022,SE,FT,Data Scientist,205300,USD,205300.0,US,0,US,M
561,2022,SE,FT,Data Scientist,140400,USD,140400.0,US,0,US,M
562,2022,SE,FT,Data Analyst,205300,USD,205300.0,US,0,US,M
563,2022,SE,FT,Data Analyst,184700,USD,184700.0,US,0,US,M
564,2022,SE,FT,Data Engineer,175100,USD,175100.0,US,100,US,M
565,2022,SE,FT,Data Engineer,140250,USD,140250.0,US,100,US,M
566,2022,SE,FT,Data Analyst,116150,USD,116150.0,US,100,US,M
567,2022,SE,FT,Data Engineer,54000,USD,54000.0,US,0,US,M
569,2022,MI,FT,Data Analyst,50000,GBP,65438.0,GB,0,GB,M
570,2022,SE,FT,Data Analyst,80000,USD,80000.0,US,100,US,M
572,2022,SE,FT,Data Scientist,210000,USD,210000.0,US,100,US,M
575,2022,SE,FT,Data Analyst,69000,USD,69000.0,US,100,US,M
579,2022,SE,FT,Data Analyst,150075,USD,150075.0,US,100,US,M
581,2022,SE,FT,Data Engineer,25000,USD,25000.0,US,100,US,M
582,2022,SE,FT,Data Analyst,126500,USD,126500.0,US,100,US,M
583,2022,SE,FT,Data Analyst,106260,USD,106260.0,US,100,US,M
584,2022,SE,FT,Data Engineer,220110,USD,220110.0,US,100,US,M
585,2022,SE,FT,Data Engineer,160080,USD,160080.0,US,100,US,M
586,2022,SE,FT,Data Analyst,105000,USD,105000.0,US,100,US,M
587,2022,SE,FT,Data Analyst,110925,USD,110925.0,US,100,US,M
588,2022,MI,FT,Data Analyst,35000,GBP,45807.0,GB,0,GB,M
591,2022,SE,FT,Data Analyst,60000,USD,60000.0,US,100,US,M
592,2022,SE,FT,Data Engineer,192564,USD,192564.0,US,100,US,M
593,2022,SE,FT,Data Engineer,144854,USD,144854.0,US,100,US,M
595,2022,SE,FT,Data Scientist,150000,USD,150000.0,US,100,US,M
596,2022,SE,FT,Data Analyst,150260,USD,150260.0,US,100,US,M
601,2022,MI,FT,Data Scientist,160000,USD,160000.0,US,100,US,M
602,2022,MI,FT,Data Scientist,130000,USD,130000.0,US,100,US,M
603,2022,EN,FT,Data Analyst,67000,USD,67000.0,CA,0,CA,M
604,2022,EN,FT,Data Analyst,52000,USD,52000.0,CA,0,CA,M
605,2022,SE,FT,Data Engineer,154000,USD,154000.0,US,100,US,M
606,2022,SE,FT,Data Engineer,126000,USD,126000.0,US,100,US,M
607,2022,SE,FT,Data Analyst,129000,USD,129000.0,US,0,US,M
608,2022,SE,FT,Data Analyst,150000,USD,150000.0,US,100,US,M
609,2022,MI,FT,Data Scientist,200000,USD,200000.0,IN,100,US,L
